date,remote work,work from home,offline work,digital work,flexible work
2024-02-04,25,93,2,7,2
2024-02-11,25,82,2,7,2
2024-02-18,26,91,2,6,2
2024-02-25,26,93,2,7,2
2024-03-03,25,87,2,7,2
2024-03-10,24,91,2,7,2
2024-03-17,24,85,2,7,2
2024-03-24,25,84,2,6,2
2024-03-31,25,87,2,6,2
2024-04-07,25,87,2,6,3
2024-04-14,25,89,2,6,3
2024-04-21,25,90,2,6,3
2024-04-28,24,93,2,7,2
2024-05-05,24,87,2,6,2
2024-05-12,24,94,2,7,2
2024-05-19,23,85,2,6,2
2024-05-26,24,91,2,6,2
2024-06-02,24,89,2,6,2
2024-06-09,26,87,2,6,2
2024-06-16,24,89,2,6,2
2024-06-23,25,91,2,6,2
2024-06-30,24,87,2,6,2
2024-07-07,26,95,2,6,2
2024-07-14,26,92,2,6,2
2024-07-21,27,98,2,6,2
2024-07-28,26,95,2,6,2
2024-08-04,26,99,2,6,2
2024-08-11,28,94,2,6,2
2024-08-18,28,94,2,6,2
2024-08-25,26,93,2,7,2
2024-09-01,26,92,2,7,2
2024-09-08,26,87,2,7,2
2024-09-15,26,90,2,7,2
2024-09-22,27,90,2,7,3
2024-09-29,25,85,2,7,2
2024-10-06,26,78,2,7,3
2024-10-13,25,83,2,7,3
2024-10-20,26,84,2,7,3
2024-10-27,24,75,2,6,3
2024-11-03,25,79,2,7,3
2024-11-10,27,90,2,7,3
2024-11-17,29,87,2,8,3
2024-11-24,24,72,2,7,2
2024-12-01,29,84,2,8,3
2024-12-08,27,80,2,8,3
2024-12-15,26,74,2,7,2
2024-12-22,22,68,2,6,1
2024-12-29,25,85,2,6,2
2025-01-05,32,100,2,7,2
2025-01-12,30,96,2,7,3
2025-01-19,41,89,2,7,2
2025-01-26,32,87,2,7,3
2025-02-02,30,82,2,8,3
2025-02-09,23,69,2,6,2
